InvoiceNumber,PaidDate,DueDate,RunDate,PremiumSubTotal,PaymentMethod,PaymentDate,RemittanceFreq,BillingAccount_BillingAccountID,InvoiceID
INV29580258,2022-10-15,2022-10-15,2022-10-15,1282.18,ACH,2022-10-15,Quarterly,99,288
INV00135103,,2022-10-16,2022-10-16,170.14,Card,,Annual,297,289
INV05027331,2022-10-17,2022-10-17,2022-10-17,1445.53,Check,2022-10-17,Quarterly,44,290
INV19438013,2022-10-18,2022-10-18,2022-10-18,2302.55,Check,2022-10-18,Monthly,145,291
INV94239114,2022-10-19,2022-10-19,2022-10-19,2201.72,ACH,2022-10-19,Annual,8,292
INV74808757,,2022-10-20,2022-10-20,181.25,ACH,,Monthly,213,293
INV92605941,2022-10-21,2022-10-21,2022-10-21,2664.14,ACH,2022-10-21,Annual,185,294
INV05487282,2022-10-22,2022-10-22,2022-10-22,1209.68,Check,2022-10-22,Monthly,82,295
INV01946787,2022-10-23,2022-10-23,2022-10-23,2753.31,Card,2022-10-23,Quarterly,39,296
INV10959719,,2022-10-24,2022-10-24,617.2,Check,,Monthly,12,297
INV54426738,2022-10-25,2022-10-25,2022-10-25,2870.39,ACH,2022-10-25,Monthly,58,298
INV60946868,2022-10-26,2022-10-26,2022-10-26,1385.73,ACH,2022-10-26,Monthly,40,299
INV17506561,2022-10-27,2022-10-27,2022-10-27,524.52,ACH,2022-10-27,Annual,265,300
INV56851198,,2022-10-28,2022-10-28,2170.2,ACH,,Monthly,114,301
INV80458717,2022-10-29,2022-10-29,2022-10-29,890.77,Card,2022-10-29,Monthly,70,302
INV50567089,2022-10-30,2022-10-30,2022-10-30,171.92,Check,2022-10-30,Quarterly,10,303
INV38112400,2022-10-31,2022-10-31,2022-10-31,158.95,ACH,2022-10-31,Annual,275,304
INV00986767,,2022-11-01,2022-11-01,1290.67,ACH,,Monthly,213,305
INV39012418,2022-11-02,2022-11-02,2022-11-02,1364.86,ACH,2022-11-02,Monthly,15,306
INV07907686,2022-11-03,2022-11-03,2022-11-03,2833.74,Card,2022-11-03,Monthly,174,307
INV43300345,2022-11-04,2022-11-04,2022-11-04,707.09,Card,2022-11-04,Monthly,41,308
INV46442740,,2022-11-05,2022-11-05,2857.57,Check,,Monthly,198,309
INV39855278,2022-11-06,2022-11-06,2022-11-06,2685.58,ACH,2022-11-06,Monthly,166,310
INV16950560,2022-11-07,2022-11-07,2022-11-07,2115.06,ACH,2022-11-07,Quarterly,248,311
INV08802060,2022-11-08,2022-11-08,2022-11-08,310.11,Check,2022-11-08,Annual,110,312
INV52765147,,2022-11-09,2022-11-09,1000.95,Check,,Quarterly,163,313
INV54198026,2022-11-10,2022-11-10,2022-11-10,721.6,Check,2022-11-10,Monthly,275,314
INV36153954,2022-11-11,2022-11-11,2022-11-11,1296.63,Check,2022-11-11,Annual,249,315
INV20180649,2022-11-12,2022-11-12,2022-11-12,1955.37,Check,2022-11-12,Monthly,226,316
INV26302531,,2022-11-13,2022-11-13,2345.73,Card,,Annual,88,317
INV00767665,2022-11-14,2022-11-14,2022-11-14,1368.37,ACH,2022-11-14,Quarterly,287,318
INV74218980,2022-11-15,2022-11-15,2022-11-15,511.21,Card,2022-11-15,Quarterly,291,319
INV38658646,2022-11-16,2022-11-16,2022-11-16,1668.25,ACH,2022-11-16,Quarterly,250,320
INV73708198,,2022-11-17,2022-11-17,244.6,Card,,Quarterly,258,321
INV22960135,2022-11-18,2022-11-18,2022-11-18,2510.1,Check,2022-11-18,Monthly,27,322
INV13756375,2022-11-19,2022-11-19,2022-11-19,1782.1,ACH,2022-11-19,Annual,98,323
INV66431841,2022-11-20,2022-11-20,2022-11-20,795.29,Card,2022-11-20,Monthly,252,324
INV76859748,,2022-11-21,2022-11-21,2580.03,Card,,Annual,211,325
INV72633707,2022-11-22,2022-11-22,2022-11-22,2249.79,Check,2022-11-22,Annual,116,326
INV70098173,2022-11-23,2022-11-23,2022-11-23,1448.61,ACH,2022-11-23,Quarterly,244,327
INV69525901,2022-11-24,2022-11-24,2022-11-24,2323.02,Check,2022-11-24,Monthly,31,328
INV21433211,,2022-11-25,2022-11-25,674.11,Card,,Quarterly,111,329
INV47146222,2022-11-26,2022-11-26,2022-11-26,1966.55,Check,2022-11-26,Quarterly,58,330
INV16929510,2022-11-27,2022-11-27,2022-11-27,1726.23,Card,2022-11-27,Quarterly,107,331
INV90290156,2022-11-28,2022-11-28,2022-11-28,1850.36,ACH,2022-11-28,Annual,22,332
INV83188298,,2022-11-29,2022-11-29,1395.55,Card,,Annual,217,333
INV99472574,2022-11-30,2022-11-30,2022-11-30,717.37,Card,2022-11-30,Quarterly,277,334
INV28713260,2022-12-01,2022-12-01,2022-12-01,145.58,Check,2022-12-01,Annual,165,335
INV80319363,2022-12-02,2022-12-02,2022-12-02,2004.67,Check,2022-12-02,Monthly,164,336
INV05255368,,2022-12-03,2022-12-03,976.72,Check,,Quarterly,212,337
INV13900806,2022-12-04,2022-12-04,2022-12-04,185.83,Card,2022-12-04,Quarterly,85,338
INV48017606,2022-12-05,2022-12-05,2022-12-05,2441.73,Card,2022-12-05,Monthly,193,339
INV29858437,2022-12-06,2022-12-06,2022-12-06,1911.89,Card,2022-12-06,Quarterly,210,340
INV70942612,,2022-12-07,2022-12-07,2005.83,ACH,,Monthly,294,341
INV27435646,2022-12-08,2022-12-08,2022-12-08,61.41,ACH,2022-12-08,Quarterly,257,342
INV07009773,2022-12-09,2022-12-09,2022-12-09,2712.97,Check,2022-12-09,Monthly,47,343
INV17059084,2022-12-10,2022-12-10,2022-12-10,661.75,ACH,2022-12-10,Annual,190,344
INV38709218,,2022-12-11,2022-12-11,2988.7,ACH,,Annual,266,345
INV77201682,2022-12-12,2022-12-12,2022-12-12,1145.44,ACH,2022-12-12,Annual,70,346
INV91213311,2022-12-13,2022-12-13,2022-12-13,1952.11,Card,2022-12-13,Annual,209,347
INV54747390,2022-12-14,2022-12-14,2022-12-14,2758.41,Card,2022-12-14,Annual,134,348
INV54493810,,2022-12-15,2022-12-15,821.18,ACH,,Annual,262,349
INV06447186,2022-12-16,2022-12-16,2022-12-16,2284.5,Card,2022-12-16,Quarterly,234,350
INV32656755,2022-12-17,2022-12-17,2022-12-17,566.22,Check,2022-12-17,Quarterly,96,351
INV22714657,2022-12-18,2022-12-18,2022-12-18,1059.03,Card,2022-12-18,Monthly,171,352
INV12504861,,2022-12-19,2022-12-19,2430.73,Check,,Annual,20,353
INV27490200,2022-12-20,2022-12-20,2022-12-20,985.7,ACH,2022-12-20,Quarterly,47,354
INV51814982,2022-12-21,2022-12-21,2022-12-21,1887.68,ACH,2022-12-21,Annual,219,355
INV65978698,2022-12-22,2022-12-22,2022-12-22,1233.64,ACH,2022-12-22,Quarterly,77,356
INV57538731,,2022-12-23,2022-12-23,2083.36,ACH,,Monthly,191,357
INV99557406,2022-12-24,2022-12-24,2022-12-24,2577.33,Card,2022-12-24,Monthly,254,358
INV37337012,2022-12-25,2022-12-25,2022-12-25,2899.29,Check,2022-12-25,Annual,7,359
INV65116307,2022-12-26,2022-12-26,2022-12-26,152.01,ACH,2022-12-26,Quarterly,108,360
INV36230719,,2022-12-27,2022-12-27,144.44,ACH,,Monthly,138,361
INV88769247,2022-12-28,2022-12-28,2022-12-28,897.33,ACH,2022-12-28,Annual,16,362
INV56804955,2022-12-29,2022-12-29,2022-12-29,1892.14,ACH,2022-12-29,Quarterly,134,363
INV65321904,2022-12-30,2022-12-30,2022-12-30,268.95,ACH,2022-12-30,Quarterly,232,364
INV32656295,,2022-12-31,2022-12-31,144.48,Check,,Annual,179,365
INV13995435,2023-01-01,2023-01-01,2023-01-01,1047.1,Check,2023-01-01,Annual,156,366
INV49187602,2023-01-02,2023-01-02,2023-01-02,2656.58,Check,2023-01-02,Annual,296,367
INV08482158,2023-01-03,2023-01-03,2023-01-03,1650.78,Card,2023-01-03,Annual,220,368
INV92030027,,2023-01-04,2023-01-04,1687.42,Card,,Monthly,197,369
INV88524065,2023-01-05,2023-01-05,2023-01-05,519.47,Check,2023-01-05,Monthly,234,370
INV52456205,2023-01-06,2023-01-06,2023-01-06,2845.33,ACH,2023-01-06,Annual,280,371
INV29920533,2023-01-07,2023-01-07,2023-01-07,718.02,Check,2023-01-07,Monthly,121,372
INV24667343,,2023-01-08,2023-01-08,1063.82,ACH,,Monthly,174,373
INV57989819,2023-01-09,2023-01-09,2023-01-09,1294.45,ACH,2023-01-09,Annual,168,374
INV85367617,2023-01-10,2023-01-10,2023-01-10,472.96,Card,2023-01-10,Annual,5,375
INV18834459,2023-01-11,2023-01-11,2023-01-11,2726.6,Check,2023-01-11,Monthly,17,376
INV86840465,,2023-01-12,2023-01-12,2410.87,Card,,Quarterly,156,377
INV23090633,2023-01-13,2023-01-13,2023-01-13,175.1,Check,2023-01-13,Monthly,26,378
INV56959655,2023-01-14,2023-01-14,2023-01-14,363.26,Card,2023-01-14,Annual,289,379
INV16718715,2023-01-15,2023-01-15,2023-01-15,2932.98,ACH,2023-01-15,Annual,181,380
INV73237684,,2023-01-16,2023-01-16,1976.92,ACH,,Quarterly,196,381
INV47963352,2023-01-17,2023-01-17,2023-01-17,1323.93,Check,2023-01-17,Quarterly,213,382
INV78261819,2023-01-18,2023-01-18,2023-01-18,343.42,Check,2023-01-18,Annual,41,383
INV22426091,2023-01-19,2023-01-19,2023-01-19,541.62,Card,2023-01-19,Monthly,49,384
INV48342814,,2023-01-20,2023-01-20,767.61,Card,,Quarterly,144,385
INV97637065,2023-01-21,2023-01-21,2023-01-21,501.48,ACH,2023-01-21,Annual,237,386
INV30776190,2023-01-22,2023-01-22,2023-01-22,1253.53,ACH,2023-01-22,Monthly,284,387
INV84863227,2023-01-23,2023-01-23,2023-01-23,71.14,Card,2023-01-23,Annual,25,388
INV84140560,,2023-01-24,2023-01-24,960.33,Card,,Monthly,243,389
INV60705044,2023-01-25,2023-01-25,2023-01-25,236.77,Card,2023-01-25,Annual,76,390
INV73502970,2023-01-26,2023-01-26,2023-01-26,1137.39,Card,2023-01-26,Quarterly,190,391
INV12047270,2023-01-27,2023-01-27,2023-01-27,1797.25,Check,2023-01-27,Monthly,1,392
INV82429426,,2023-01-28,2023-01-28,641.02,ACH,,Quarterly,157,393
INV36848675,2023-01-29,2023-01-29,2023-01-29,928.11,Card,2023-01-29,Annual,278,394
INV52998895,2023-01-30,2023-01-30,2023-01-30,289.91,Card,2023-01-30,Annual,218,395
INV72235596,2023-01-31,2023-01-31,2023-01-31,1354.37,Check,2023-01-31,Monthly,153,396
INV38641641,,2023-02-01,2023-02-01,1365.97,Check,,Annual,3,397
INV59358305,2023-02-02,2023-02-02,2023-02-02,843.84,Check,2023-02-02,Monthly,154,398
INV11100608,2023-02-03,2023-02-03,2023-02-03,150.14,Card,2023-02-03,Quarterly,111,399
INV59582869,2023-02-04,2023-02-04,2023-02-04,1319.05,Card,2023-02-04,Annual,177,400
INV23056135,,2023-02-05,2023-02-05,150.46,ACH,,Monthly,64,401
INV29099075,2023-02-06,2023-02-06,2023-02-06,556.09,ACH,2023-02-06,Annual,288,402
INV70655788,2023-02-07,2023-02-07,2023-02-07,1507.7,ACH,2023-02-07,Monthly,73,403
INV46717730,2023-02-08,2023-02-08,2023-02-08,2935.56,Check,2023-02-08,Monthly,167,404
INV54201136,,2023-02-09,2023-02-09,2656.01,ACH,,Monthly,200,405
INV89413185,2023-02-10,2023-02-10,2023-02-10,1328.08,ACH,2023-02-10,Annual,128,406
INV94328486,2023-02-11,2023-02-11,2023-02-11,2292.3,Check,2023-02-11,Annual,255,407
INV45571180,2023-02-12,2023-02-12,2023-02-12,1556.11,Card,2023-02-12,Quarterly,156,408
INV56634930,,2023-02-13,2023-02-13,2733.49,Card,,Monthly,219,409
INV27537538,2023-02-14,2023-02-14,2023-02-14,1976.06,Check,2023-02-14,Annual,180,410
INV46071851,2023-02-15,2023-02-15,2023-02-15,545.44,Check,2023-02-15,Annual,250,411
INV33311673,2023-02-16,2023-02-16,2023-02-16,1890.95,Card,2023-02-16,Monthly,38,412
INV82655826,,2023-02-17,2023-02-17,761.54,Card,,Annual,77,413
INV23719307,2023-02-18,2023-02-18,2023-02-18,1431.69,ACH,2023-02-18,Annual,88,414
INV28220707,2023-02-19,2023-02-19,2023-02-19,686.13,Check,2023-02-19,Quarterly,295,415
INV54335953,2023-02-20,2023-02-20,2023-02-20,2279.94,Card,2023-02-20,Annual,190,416
INV45973944,,2023-02-21,2023-02-21,2689.85,ACH,,Monthly,76,417
INV05557551,2023-02-22,2023-02-22,2023-02-22,1105.32,ACH,2023-02-22,Monthly,36,418
INV38911806,2023-02-23,2023-02-23,2023-02-23,1374.13,Card,2023-02-23,Monthly,44,419
INV67490897,2023-02-24,2023-02-24,2023-02-24,2459.93,Check,2023-02-24,Monthly,21,420
INV55807088,,2023-02-25,2023-02-25,1288.18,ACH,,Annual,5,421
INV04372622,2023-02-26,2023-02-26,2023-02-26,909.95,Card,2023-02-26,Quarterly,183,422
INV83240130,2023-02-27,2023-02-27,2023-02-27,405.08,ACH,2023-02-27,Quarterly,115,423
INV30764343,2023-02-28,2023-02-28,2023-02-28,2629.65,ACH,2023-02-28,Quarterly,126,424
INV02876409,,2023-03-01,2023-03-01,1445.67,ACH,,Annual,64,425
INV78967021,2023-03-02,2023-03-02,2023-03-02,1766.37,Check,2023-03-02,Quarterly,146,426
INV73658904,2023-03-03,2023-03-03,2023-03-03,2039.03,Check,2023-03-03,Annual,287,427
INV48256744,2023-03-04,2023-03-04,2023-03-04,410.21,Card,2023-03-04,Quarterly,244,428
INV12506976,,2023-03-05,2023-03-05,308.68,ACH,,Monthly,209,429
INV54756719,2023-03-06,2023-03-06,2023-03-06,1500.71,Check,2023-03-06,Quarterly,78,430
INV25283587,2023-03-07,2023-03-07,2023-03-07,1836.27,Card,2023-03-07,Monthly,207,431
INV14947148,2023-03-08,2023-03-08,2023-03-08,1657.26,Card,2023-03-08,Monthly,31,432
INV52869005,,2023-03-09,2023-03-09,2384.16,Card,,Monthly,199,433
INV82177116,2023-03-10,2023-03-10,2023-03-10,1932.2,ACH,2023-03-10,Monthly,101,434
INV19521476,2023-03-11,2023-03-11,2023-03-11,2147.93,Check,2023-03-11,Monthly,262,435
INV29475974,2023-03-12,2023-03-12,2023-03-12,1001.53,Card,2023-03-12,Monthly,27,436
INV58859550,,2023-03-13,2023-03-13,170.93,Check,,Monthly,226,437
INV81973197,2023-03-14,2023-03-14,2023-03-14,2241.55,Card,2023-03-14,Annual,227,438
INV30542919,2023-03-15,2023-03-15,2023-03-15,1175.6,ACH,2023-03-15,Quarterly,122,439
INV51512756,2023-03-16,2023-03-16,2023-03-16,1885.62,Card,2023-03-16,Monthly,177,440
INV11109358,,2023-03-17,2023-03-17,1424.29,Card,,Annual,100,441
INV69487346,2023-03-18,2023-03-18,2023-03-18,938.08,Card,2023-03-18,Annual,96,442
INV24543019,2023-03-19,2023-03-19,2023-03-19,1413.91,Card,2023-03-19,Annual,27,443
INV73689024,2023-03-20,2023-03-20,2023-03-20,1153.31,Check,2023-03-20,Annual,57,444
INV36738526,,2023-03-21,2023-03-21,2226.72,ACH,,Quarterly,207,445
INV96575588,2023-03-22,2023-03-22,2023-03-22,1484.81,Card,2023-03-22,Annual,115,446
INV72180698,2023-03-23,2023-03-23,2023-03-23,1000.98,ACH,2023-03-23,Quarterly,27,447
INV16880698,2023-03-24,2023-03-24,2023-03-24,1794.27,ACH,2023-03-24,Quarterly,55,448
INV24444112,,2023-03-25,2023-03-25,2347.27,Card,,Quarterly,258,449
INV38764315,2023-03-26,2023-03-26,2023-03-26,1368.51,Check,2023-03-26,Monthly,293,450
INV71649885,2023-03-27,2023-03-27,2023-03-27,900.42,Card,2023-03-27,Annual,251,451
INV45946297,2023-03-28,2023-03-28,2023-03-28,958.25,Card,2023-03-28,Quarterly,282,452
INV72116884,,2023-03-29,2023-03-29,2257.31,ACH,,Annual,129,453
INV13422697,2023-03-30,2023-03-30,2023-03-30,597.71,ACH,2023-03-30,Monthly,98,454
INV96139657,2023-03-31,2023-03-31,2023-03-31,2049.07,ACH,2023-03-31,Quarterly,155,455
INV39241480,2023-04-01,2023-04-01,2023-04-01,2325.92,Card,2023-04-01,Quarterly,83,456
INV34687170,,2023-04-02,2023-04-02,1416.4,ACH,,Monthly,157,457
INV91837102,2023-04-03,2023-04-03,2023-04-03,1056.69,Check,2023-04-03,Annual,172,458
INV82985625,2023-04-04,2023-04-04,2023-04-04,1376.4,Card,2023-04-04,Quarterly,271,459
INV57512042,2023-04-05,2023-04-05,2023-04-05,1856.38,ACH,2023-04-05,Monthly,279,460
INV99799478,,2023-04-06,2023-04-06,1014.35,Check,,Quarterly,170,461
INV27758066,2023-04-07,2023-04-07,2023-04-07,2554.9,Card,2023-04-07,Quarterly,19,462
INV08940294,2023-04-08,2023-04-08,2023-04-08,1006.65,ACH,2023-04-08,Annual,256,463
INV41590473,2023-04-09,2023-04-09,2023-04-09,2162.27,ACH,2023-04-09,Quarterly,102,464
INV61637588,,2023-04-10,2023-04-10,2214.96,ACH,,Annual,114,465
INV82732490,2023-04-11,2023-04-11,2023-04-11,704.36,Check,2023-04-11,Quarterly,176,466
INV64422054,2023-04-12,2023-04-12,2023-04-12,1640.42,Check,2023-04-12,Annual,225,467
INV70946554,2023-04-13,2023-04-13,2023-04-13,1165.79,Card,2023-04-13,Quarterly,240,468
INV83938123,,2023-04-14,2023-04-14,996.08,Check,,Quarterly,30,469
INV52419144,2023-04-15,2023-04-15,2023-04-15,2114.19,Check,2023-04-15,Monthly,159,470
INV85007141,2023-04-16,2023-04-16,2023-04-16,1818.72,Card,2023-04-16,Annual,106,471
INV28873618,2023-04-17,2023-04-17,2023-04-17,129.69,ACH,2023-04-17,Quarterly,129,472
INV71957741,,2023-04-18,2023-04-18,278.94,Check,,Quarterly,58,473
INV52555232,2023-04-19,2023-04-19,2023-04-19,973.57,ACH,2023-04-19,Monthly,159,474
INV23964277,2023-04-20,2023-04-20,2023-04-20,1087.98,Check,2023-04-20,Annual,204,475
INV92165654,2023-04-21,2023-04-21,2023-04-21,544.76,Check,2023-04-21,Quarterly,86,476
INV96991910,,2023-04-22,2023-04-22,386.09,Card,,Annual,12,477
INV56334702,2023-04-23,2023-04-23,2023-04-23,217.13,Check,2023-04-23,Monthly,64,478
INV96104264,2023-04-24,2023-04-24,2023-04-24,1350.81,Check,2023-04-24,Quarterly,291,479
INV59077313,2023-04-25,2023-04-25,2023-04-25,696.39,ACH,2023-04-25,Quarterly,43,480
INV06877645,,2023-04-26,2023-04-26,1087.38,Card,,Quarterly,30,481
INV11581775,2023-04-27,2023-04-27,2023-04-27,191.16,Card,2023-04-27,Monthly,277,482
INV81727128,2023-04-28,2023-04-28,2023-04-28,2929.79,ACH,2023-04-28,Monthly,269,483
INV33441436,2023-04-29,2023-04-29,2023-04-29,1657.52,Card,2023-04-29,Annual,156,484
INV30589446,,2023-04-30,2023-04-30,267.47,Check,,Quarterly,195,485
INV44072100,2023-05-01,2023-05-01,2023-05-01,2224.05,Card,2023-05-01,Quarterly,221,486
INV66817856,2023-05-02,2023-05-02,2023-05-02,1561.81,Check,2023-05-02,Quarterly,190,487
INV15665451,2023-05-03,2023-05-03,2023-05-03,422.37,ACH,2023-05-03,Annual,93,488
INV95580067,,2023-05-04,2023-05-04,2889.1,Card,,Annual,11,489
INV48693498,2023-05-05,2023-05-05,2023-05-05,1800.86,ACH,2023-05-05,Monthly,82,490
INV09371405,2023-05-06,2023-05-06,2023-05-06,2363.9,Card,2023-05-06,Monthly,55,491
INV54436508,2023-05-07,2023-05-07,2023-05-07,317.42,ACH,2023-05-07,Monthly,238,492
INV15373524,,2023-05-08,2023-05-08,941.93,Card,,Annual,85,493
INV23441661,2023-05-09,2023-05-09,2023-05-09,595.05,Card,2023-05-09,Monthly,246,494
INV15714314,2023-05-10,2023-05-10,2023-05-10,1682.5,Card,2023-05-10,Annual,112,495
INV49612341,2023-05-11,2023-05-11,2023-05-11,1950.23,Card,2023-05-11,Monthly,149,496
INV40429204,,2023-05-12,2023-05-12,274.46,ACH,,Quarterly,6,497
INV40887990,2023-05-13,2023-05-13,2023-05-13,911.62,Check,2023-05-13,Annual,38,498
INV11796125,2023-05-14,2023-05-14,2023-05-14,1907.51,Card,2023-05-14,Annual,64,499
INV18637180,2023-05-15,2023-05-15,2023-05-15,2405.65,ACH,2023-05-15,Quarterly,83,500
INV74292126,,2023-05-16,2023-05-16,85.16,Check,,Quarterly,36,501
INV89963596,2023-05-17,2023-05-17,2023-05-17,2773.83,Check,2023-05-17,Monthly,175,502
INV84252217,2023-05-18,2023-05-18,2023-05-18,810.59,ACH,2023-05-18,Annual,39,503
INV23027345,2023-05-19,2023-05-19,2023-05-19,330.15,Card,2023-05-19,Annual,124,504
INV98738015,,2023-05-20,2023-05-20,181.18,Check,,Annual,145,505
INV05435228,2023-05-21,2023-05-21,2023-05-21,917.67,Check,2023-05-21,Monthly,113,506
INV01916178,2023-05-22,2023-05-22,2023-05-22,2813.91,Check,2023-05-22,Quarterly,92,507
INV60703342,2023-05-23,2023-05-23,2023-05-23,1786.99,ACH,2023-05-23,Monthly,252,508
INV98864213,,2023-05-24,2023-05-24,1173.59,Check,,Annual,291,509
INV55645879,2023-05-25,2023-05-25,2023-05-25,1003.58,Card,2023-05-25,Monthly,284,510
INV80682588,2023-05-26,2023-05-26,2023-05-26,2940.68,Card,2023-05-26,Quarterly,37,511
INV06697898,2023-05-27,2023-05-27,2023-05-27,148.28,Check,2023-05-27,Annual,127,512
INV04783828,,2023-05-28,2023-05-28,1053.91,Card,,Annual,300,513
INV08975523,2023-05-29,2023-05-29,2023-05-29,2845.88,ACH,2023-05-29,Annual,280,514
INV99560147,2023-05-30,2023-05-30,2023-05-30,2749.41,Card,2023-05-30,Monthly,44,515
INV24264937,2023-05-31,2023-05-31,2023-05-31,2843.7,ACH,2023-05-31,Quarterly,112,516
INV48932233,,2023-06-01,2023-06-01,2035.28,Check,,Monthly,157,517
INV32463693,2023-06-02,2023-06-02,2023-06-02,848.12,Check,2023-06-02,Monthly,41,518
INV57920042,2023-06-03,2023-06-03,2023-06-03,1389.13,Check,2023-06-03,Annual,176,519
INV43641064,2023-06-04,2023-06-04,2023-06-04,852.12,ACH,2023-06-04,Quarterly,41,520
INV87092318,,2023-06-05,2023-06-05,1299.16,Card,,Quarterly,278,521
INV94607820,2023-06-06,2023-06-06,2023-06-06,1766.33,Card,2023-06-06,Annual,45,522
INV55032336,2023-06-07,2023-06-07,2023-06-07,2379.85,Check,2023-06-07,Monthly,174,523
INV30314770,2023-06-08,2023-06-08,2023-06-08,1632.35,Card,2023-06-08,Monthly,273,524
INV11558757,,2023-06-09,2023-06-09,415.94,ACH,,Monthly,117,525
INV57396844,2023-06-10,2023-06-10,2023-06-10,756.81,ACH,2023-06-10,Quarterly,226,526
INV23949353,2023-06-11,2023-06-11,2023-06-11,699.14,Check,2023-06-11,Monthly,283,527
INV31631339,2023-06-12,2023-06-12,2023-06-12,1245.73,ACH,2023-06-12,Quarterly,113,528
INV76947888,,2023-06-13,2023-06-13,440.76,Check,,Quarterly,258,529
INV74568226,2023-06-14,2023-06-14,2023-06-14,1304.77,Check,2023-06-14,Quarterly,39,530
INV14923725,2023-06-15,2023-06-15,2023-06-15,1046.23,Check,2023-06-15,Quarterly,256,531
INV12575930,2023-06-16,2023-06-16,2023-06-16,1841.35,Card,2023-06-16,Annual,294,532
INV66619772,,2023-06-17,2023-06-17,766.52,Card,,Monthly,284,533
INV45184429,2023-06-18,2023-06-18,2023-06-18,921.24,ACH,2023-06-18,Quarterly,141,534
INV87616162,2023-06-19,2023-06-19,2023-06-19,2214.04,ACH,2023-06-19,Quarterly,134,535
INV10708021,2023-06-20,2023-06-20,2023-06-20,649.41,Card,2023-06-20,Monthly,178,536
INV75991404,,2023-06-21,2023-06-21,2935.9,ACH,,Monthly,203,537
INV80480355,2023-06-22,2023-06-22,2023-06-22,2337.76,Card,2023-06-22,Quarterly,167,538
INV65809276,2023-06-23,2023-06-23,2023-06-23,404.08,Check,2023-06-23,Annual,107,539
INV14012870,2023-06-24,2023-06-24,2023-06-24,367.91,Card,2023-06-24,Annual,53,540
INV88790326,,2023-06-25,2023-06-25,567.7,Check,,Annual,111,541
INV51584229,2023-06-26,2023-06-26,2023-06-26,1746.74,ACH,2023-06-26,Monthly,214,542
INV31404307,2023-06-27,2023-06-27,2023-06-27,1763.88,ACH,2023-06-27,Annual,147,543
INV45233480,2023-06-28,2023-06-28,2023-06-28,618.32,Check,2023-06-28,Quarterly,229,544
INV95429560,,2023-06-29,2023-06-29,527.09,ACH,,Monthly,38,545
INV33339985,2023-06-30,2023-06-30,2023-06-30,1579.18,Check,2023-06-30,Annual,93,546
INV28759451,2023-07-01,2023-07-01,2023-07-01,2699.56,Check,2023-07-01,Monthly,90,547
INV39784781,2023-07-02,2023-07-02,2023-07-02,590.46,ACH,2023-07-02,Annual,215,548
INV58373968,,2023-07-03,2023-07-03,1576.33,Check,,Annual,22,549
INV30257544,2023-07-04,2023-07-04,2023-07-04,1483.19,Check,2023-07-04,Quarterly,127,550
INV45502930,2023-07-05,2023-07-05,2023-07-05,2909.05,Card,2023-07-05,Quarterly,289,551
INV52508657,2023-07-06,2023-07-06,2023-07-06,625.54,ACH,2023-07-06,Annual,82,552
INV55135378,,2023-07-07,2023-07-07,56.1,Check,,Monthly,55,553
INV97933620,2023-07-08,2023-07-08,2023-07-08,1393.26,Check,2023-07-08,Quarterly,275,554
INV85541209,2023-07-09,2023-07-09,2023-07-09,1224.13,Card,2023-07-09,Annual,269,555
INV61513110,2023-07-10,2023-07-10,2023-07-10,2094.38,Card,2023-07-10,Annual,90,556
INV74004684,,2023-07-11,2023-07-11,437.3,ACH,,Annual,289,557
INV55779274,2023-07-12,2023-07-12,2023-07-12,739.17,Card,2023-07-12,Quarterly,233,558
INV76289724,2023-07-13,2023-07-13,2023-07-13,1682.32,ACH,2023-07-13,Annual,45,559
INV88372978,2023-07-14,2023-07-14,2023-07-14,2750.97,Check,2023-07-14,Quarterly,5,560
INV97244465,,2023-07-15,2023-07-15,2690.87,ACH,,Annual,297,561
INV02252902,2023-07-16,2023-07-16,2023-07-16,1162.88,Card,2023-07-16,Annual,295,562
INV56587035,2023-07-17,2023-07-17,2023-07-17,680.51,Card,2023-07-17,Quarterly,172,563
INV90615106,2023-07-18,2023-07-18,2023-07-18,2895.39,ACH,2023-07-18,Monthly,93,564
INV41245191,,2023-07-19,2023-07-19,1962.54,ACH,,Annual,232,565
INV53789305,2023-07-20,2023-07-20,2023-07-20,1030.41,Card,2023-07-20,Annual,100,566
INV68721130,2023-07-21,2023-07-21,2023-07-21,2373.11,ACH,2023-07-21,Quarterly,36,567
INV87913662,2023-07-22,2023-07-22,2023-07-22,1395.05,Check,2023-07-22,Monthly,205,568
INV63309927,,2023-07-23,2023-07-23,245.49,ACH,,Monthly,259,569
INV20963252,2023-07-24,2023-07-24,2023-07-24,2520.4,Card,2023-07-24,Quarterly,106,570
INV41520357,2023-07-25,2023-07-25,2023-07-25,116.56,Card,2023-07-25,Monthly,286,571
INV92099582,2023-07-26,2023-07-26,2023-07-26,1498.36,Card,2023-07-26,Quarterly,104,572
INV31509224,,2023-07-27,2023-07-27,2759.16,Check,,Monthly,84,573
INV65607749,2023-07-28,2023-07-28,2023-07-28,819.48,ACH,2023-07-28,Quarterly,283,574
INV53844982,2023-07-29,2023-07-29,2023-07-29,2582.02,ACH,2023-07-29,Quarterly,188,575
INV47614007,2023-07-30,2023-07-30,2023-07-30,550.86,Card,2023-07-30,Quarterly,14,576
INV22743546,,2023-07-31,2023-07-31,1936.98,Check,,Annual,289,577
